zip_code,longitude,latitude
02322,18.5648,49.4483
02331,18.7176,49.315
02332,18.7872,49.2653
02333,18.81,49.3117
02334,18.8161,49.3388
02335,18.7896,49.3489
02336,18.8379,49.2746
02341,18.7415,49.3177
02345,18.8937,49.275
02351,18.7379,49.4448
02352,18.6762,49.4236
02353,18.6869,49.421
02354,18.6226,49.4043
02355,18.5441,49.3785
02356,18.4804,49.3705
02357,18.6646,49.4127
02401,18.7833,49.3
02404,18.7833,49.3
02441,18.7833,49.3
02601,19.394,49.2029
02612,19.3386,49.2007
02614,19.3386,49.2007
02617,19.3386,49.2007
02619,19.3386,49.2007
02621,19.3386,49.2007
02624,19.3386,49.2007
02625,19.3386,49.2007
02626,19.3386,49.2007
02627,19.3386,49.2007
02680,19.3386,49.2007
02705,19.1536,49.2763
02712,19.6922,49.3616
02713,19.7899,49.3663
02721,19.2174,49.1724
02732,19.5728,49.2224
02741,19.3569,49.2594
02742,19.5548,49.2863
02743,19.5243,49.3105
02744,19.556,49.337
02751,19.1306,49.1518
02753,19.2217,49.2151
02754,19.241,49.2199
02755,19.45,49.2667
02801,19.6125,49.361
02813,19.6125,49.361
02815,19.6125,49.361
02901,19.4665,49.3857
02913,19.3986,49.4141
02915,19.3986,49.4141
02917,19.3986,49.4141
02921,19.3986,49.4141
02941,19.4925,49.4368
02942,19.5412,49.4287
02943,19.5117,49.4454
02944,19.4762,49.486
02945,19.5238,49.5073
02946,19.4115,49.5082
02947,19.4407,49.5272
02951,19.4134,49.3678
02952,19.3807,49.3308
02953,19.3844,49.3876
02954,19.3034,49.3605
02955,19.2654,49.4285
02956,19.2929,49.3886
02957,19.1842,49.3675
02962,19.3834,49.466
02963,19.3196,49.4623
02964,19.4352,49.3905
03101,19.5843,48.9709
03104,19.6764,49.1091
03105,19.5988,49.0628
03106,19.5988,49.0628
03123,19.5988,49.0628
03125,19.5988,49.0628
03128,19.5988,49.0628
03129,19.5988,49.0628
03132,19.5988,49.0628
03133,19.5988,49.0628
03136,19.5988,49.0628
03139,19.5988,49.0628
03141,19.5988,49.0628
03142,19.5988,49.0628
03146,19.5988,49.0628
03148,19.5988,49.0628
03180,19.5988,49.0628
03202,19.6491,49.054
03203,19.6823,49.0584
03204,19.6805,49.0756
03205,19.6652,49.1308
03211,19.5411,49.0295
03212,19.4953,49.0391
03213,19.478,49.0931
03214,19.475,49.0335
03215,19.4472,49.067
03221,19.6295,49.1363
03223,19.5649,49.1606
03231,19.8289,49.0444
03232,19.8901,49.0591
03233,19.7899,49.0226
03234,19.7689,48.9804
03242,19.7616,49.0713
03244,19.8175,49.0892
03261,19.9804,49.0597
03301,19.7234,49.0396
03311,19.7194,49.0489
03312,19.7194,49.0489
03314,19.7194,49.0489
03315,19.7194,49.0489
03317,19.7194,49.0489
03319,19.7194,49.0489
03401,19.3421,49.0694
03403,19.3075,49.0748
03404,19.3285,49.0676
03405,19.3285,49.0676
03406,19.3075,49.0748
03416,19.3272,49.083
03417,19.3272,49.083
03426,19.3272,49.083
03450,19.3272,49.083
03453,19.3272,49.083
03471,19.3333,49.05
03472,19.3238,48.941
03473,19.2618,48.9496
03474,19.1798,48.9206
03481,19.3537,49.0902
03482,19.4153,49.1252
03483,19.4092,49.1098
03484,19.3924,49.063
03491,19.1689,49.1201
03492,19.1739,49.1423
03495,19.3116,49.0926
03496,19.2436,49.1469
03601,18.924,49.0665
03603,18.924,49.0665
03604,18.924,49.0665
03605,18.924,49.0665
03608,18.924,49.0665
03609,18.924,49.0665
03625,18.924,49.0665
03632,18.924,49.0665
03636,18.924,49.0665
03637,18.924,49.0665
03649,18.924,49.0665
03652,18.924,49.0665
03653,18.924,49.0665
03655,18.924,49.0665
03657,18.924,49.0665
03658,18.924,49.0665
03659,18.924,49.0665
03663,18.924,49.0665
03665,18.924,49.0665
03680,18.924,49.0665
03697,18.924,49.0665
03802,18.9629,49.0416
03803,19.0275,49.052
03804,18.8833,49.05
03811,18.9799,49.0016
03812,18.9659,48.9871
03815,18.9007,48.9606
03821,18.8848,48.9094
03822,18.759,48.9094
03823,18.7939,48.8575
03831,18.7048,48.97
03835,18.845,49.0018
03840,18.9238,49.0243
03841,18.9044,49.0299
