Code Cube,Title
ps3808rr,"Numbers and proportions of households by intervals of monthly equivalised disposable income by region"
Last update,2025-05-02

Code Dimension,Code Dimension,Code Dimension,Code Dimension,Data
nuts13,ps3808rr_rok,ps3808rr_int,ps3808rr_mj
Code Element,Code Element,Code Element,Code Element,Value
SK021,2016,P_INT_7,mj_podiel_dom,14.6
SK021,2016,P_INT_8,mj_pocet_dom,17526
SK021,2016,P_INT_8,mj_podiel_dom,9.2
SK021,2016,P_INT_9,mj_pocet_dom,12697
SK021,2016,P_INT_9,mj_podiel_dom,6.6
SK021,2016,P_INT_10,mj_pocet_dom,8098
SK021,2016,P_INT_10,mj_podiel_dom,4.2
SK021,2016,P_INT_11,mj_pocet_dom,12661
SK021,2016,P_INT_11,mj_podiel_dom,6.6
SK022,2016,P_INT_spolu,mj_pocet_dom,208838
SK022,2016,P_INT_spolu,mj_podiel_dom,100
SK022,2016,P_INT_1,mj_pocet_dom,829
SK022,2016,P_INT_1,mj_podiel_dom,0.4
SK022,2016,P_INT_2,mj_pocet_dom,2049
SK022,2016,P_INT_2,mj_podiel_dom,1
SK022,2016,P_INT_3,mj_pocet_dom,6942
SK022,2016,P_INT_3,mj_podiel_dom,3.3
SK022,2016,P_INT_4,mj_pocet_dom,23225
SK022,2016,P_INT_4,mj_podiel_dom,11.1
SK022,2016,P_INT_5,mj_pocet_dom,35204
SK022,2016,P_INT_5,mj_podiel_dom,16.9
SK022,2016,P_INT_6,mj_pocet_dom,41141
SK022,2016,P_INT_6,mj_podiel_dom,19.7
SK022,2016,P_INT_7,mj_pocet_dom,43752
SK022,2016,P_INT_7,mj_podiel_dom,21
SK022,2016,P_INT_8,mj_pocet_dom,23705
SK022,2016,P_INT_8,mj_podiel_dom,11.4
SK022,2016,P_INT_9,mj_pocet_dom,18590
SK022,2016,P_INT_9,mj_podiel_dom,8.9
SK022,2016,P_INT_10,mj_pocet_dom,3888
SK022,2016,P_INT_10,mj_podiel_dom,1.9
SK022,2016,P_INT_11,mj_pocet_dom,9513
SK022,2016,P_INT_11,mj_podiel_dom,4.6
SK023,2016,P_INT_spolu,mj_pocet_dom,247713
SK023,2016,P_INT_spolu,mj_podiel_dom,100
SK023,2016,P_INT_1,mj_pocet_dom,5457
SK023,2016,P_INT_1,mj_podiel_dom,2.2
SK023,2016,P_INT_2,mj_pocet_dom,5658
SK023,2016,P_INT_2,mj_podiel_dom,2.3
SK023,2016,P_INT_3,mj_pocet_dom,11328
SK023,2016,P_INT_3,mj_podiel_dom,4.6
SK023,2016,P_INT_4,mj_pocet_dom,31748
SK023,2016,P_INT_4,mj_podiel_dom,12.8
SK023,2016,P_INT_5,mj_pocet_dom,49429
SK023,2016,P_INT_5,mj_podiel_dom,20
SK023,2016,P_INT_6,mj_pocet_dom,49328
SK023,2016,P_INT_6,mj_podiel_dom,19.9
SK023,2016,P_INT_7,mj_pocet_dom,30835
SK023,2016,P_INT_7,mj_podiel_dom,12.4
SK023,2016,P_INT_8,mj_pocet_dom,24281
SK023,2016,P_INT_8,mj_podiel_dom,9.8
SK023,2016,P_INT_9,mj_pocet_dom,12052
SK023,2016,P_INT_9,mj_podiel_dom,4.9
SK023,2016,P_INT_10,mj_pocet_dom,12823
SK023,2016,P_INT_10,mj_podiel_dom,5.2
SK023,2016,P_INT_11,mj_pocet_dom,14774
SK023,2016,P_INT_11,mj_podiel_dom,6
SK03,2016,P_INT_spolu,mj_pocet_dom,458971
SK03,2016,P_INT_spolu,mj_podiel_dom,100
SK03,2016,P_INT_1,mj_pocet_dom,7393
SK03,2016,P_INT_1,mj_podiel_dom,1.6
SK03,2016,P_INT_2,mj_pocet_dom,13907
SK03,2016,P_INT_2,mj_podiel_dom,3
SK03,2016,P_INT_3,mj_pocet_dom,18383
SK03,2016,P_INT_3,mj_podiel_dom,4
SK03,2016,P_INT_4,mj_pocet_dom,49822
SK03,2016,P_INT_4,mj_podiel_dom,10.9
SK03,2016,P_INT_5,mj_pocet_dom,92788
SK03,2016,P_INT_5,mj_podiel_dom,20.2
SK03,2016,P_INT_6,mj_pocet_dom,87359
SK03,2016,P_INT_6,mj_podiel_dom,19
SK03,2016,P_INT_7,mj_pocet_dom,67386
SK03,2016,P_INT_7,mj_podiel_dom,14.7
SK03,2016,P_INT_8,mj_pocet_dom,49563
SK03,2016,P_INT_8,mj_podiel_dom,10.8
SK03,2016,P_INT_9,mj_pocet_dom,30356
SK03,2016,P_INT_9,mj_podiel_dom,6.6
SK03,2016,P_INT_10,mj_pocet_dom,18729
SK03,2016,P_INT_10,mj_podiel_dom,4.1
SK03,2016,P_INT_11,mj_pocet_dom,23285
SK03,2016,P_INT_11,mj_podiel_dom,5.1
SK031,2016,P_INT_spolu,mj_pocet_dom,218789
SK031,2016,P_INT_spolu,mj_podiel_dom,100
SK031,2016,P_INT_1,mj_pocet_dom,130
SK031,2016,P_INT_1,mj_podiel_dom,0.1
SK031,2016,P_INT_2,mj_pocet_dom,5033
SK031,2016,P_INT_2,mj_podiel_dom,2.3
SK031,2016,P_INT_3,mj_pocet_dom,9820
